City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
299,Arrifes,PT,62.85,37.7667,-25.7,Hotel Ponta Delgada
300,Taoudenni,ML,83.91,22.6783,-3.9836,
301,Kanigoro,ID,79.52,-8.13,112.219,Musafer Villa ( Villa Erlin )
303,Zhezkazgan,KZ,35.62,47.8043,67.7144,Hotel Zumrat
304,Xuddur,SO,70.47,4.1213,43.8894,Banjanay Hotel
305,Saint Anthony,US,74.32,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
306,Honiara,SB,85.21,-9.4333,159.95,Heritage Park Hotel
307,Phek,IN,52.59,25.6667,94.5,Prayer Centre
308,Yulara,AU,73.22,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
309,Araouane,ML,81.88,18.9048,-3.5265,
310,Comodoro Rivadavia,AR,60.66,-45.8667,-67.5,Austral Hotel
311,Preobrazheniye,RU,43.81,42.9019,133.9064,Campsite Orlan
312,Port Moresby,PG,85.42,-9.4431,147.1797,Lamana Hotel (Port Moresby)
313,Singkang,MY,74.68,2.1006,102.7994,Kampung Seri Makmor Pagoh
314,Grand Gaube,MU,72.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
315,Airai,TL,72.03,-8.9266,125.4092,
316,Shitkino,RU,37.33,56.3703,98.3543,
317,Panama City,PA,78.3,8.9936,-79.5197,Trump International Hotel & Tower Panama
318,Kuliyapitiya,LK,74.88,7.4688,80.0401,Rest House
319,Rebrikha,RU,51.48,53.0733,82.3408,Gostinitsa Sibiryak
320,Guerrero Negro,MX,70.57,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
321,Takoradi,GH,77.23,4.8845,-1.7554,Raybow International Hotel
322,Muyezerskiy,RU,39.38,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
324,Cabo San Lucas,MX,84.18,22.8909,-109.9124,Hotel Tesoro Los Cabos
325,Damghan,IR,58.46,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
326,Mount Gambier,AU,55.31,-37.8333,140.7667,The Commodore
327,Poum,NC,75.24,-20.2333,164.0167,
328,Port Lavaca,US,78.31,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
329,Boddam,GB,53.98,57.4667,-1.7833,Palace Hotel
330,Fairview,US,59.43,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
331,Tuatapere,NZ,62.94,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
332,Macon,US,73.45,39.8667,-88.9668,Haworth Cottage
333,San Cristobal,VE,73.58,7.7669,-72.225,Pirineos
334,Guiglo,CI,71.26,6.5456,-7.4966,Hotel GBAOLY 2
335,Makakilo City,US,84.43,21.3469,-158.0858,Marriott's Ko Olina Beach Club
336,Starkville,US,73.06,33.4504,-88.8184,Hilton Garden Inn Starkville
337,Uberaba,BR,79.38,-19.7483,-47.9319,Tamareiras Park Hotel
338,Plettenberg Bay,ZA,61.34,-34.0527,23.3716,Thanda Vista B&B
339,Tapejara,BR,56.97,-28.0681,-52.0139,Hotel Fontana
340,Havelock,US,69.78,34.8791,-76.9013,Sherwood Motel
341,Maragogi,BR,75.87,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
342,Naze,JP,74.32,28.3667,129.4833,Shishime Hotel
343,Muli,MV,81.32,2.9167,73.5667,Medhufushi Island Resort
344,Kamsack,CA,45.28,51.5667,-101.9009,Liquor Store Kamsack & Woodlander Hotel
345,Akyab,MM,78.98,20.15,92.9,ဟိုတယ် မန်မိုရီ
346,Bambous Virieux,MU,71.85,-20.3428,57.7575,Casa Tia Villa
